partID,productLine,prodCategory
part85eb9ad,line61,Machines
part8ae42e7,line55,SpareParts
part6a023cb,line55,SpareParts
partfc386fe,line55,SpareParts
part3e9e5ab,line55,SpareParts
partbc5b775,line55,SpareParts
part2de8634,line55,SpareParts
part96c28d0,line55,SpareParts
part76249fc,line55,SpareParts
part2fd87a4,line55,SpareParts
part025940c,line55,SpareParts
part8993b93,line55,SpareParts
part03caed,linea3,Marketables
partbaeb787,linea3,Marketables
part2a7e63d,linea3,Marketables
part3c10cc,line9b,Machines
partf043f6b,line9b,Machines
partac9f2ed,line94,Machines
part21081f3,line55,SpareParts
part21ca849,line55,SpareParts
part3841ee4,line55,SpareParts
partb78d0d0,line55,SpareParts
partb573689,line55,SpareParts
part97241ea,line55,SpareParts
partb70343,line55,SpareParts
partf09ceff,line55,SpareParts
part0a7e137,line55,SpareParts
partb7528cb,line94,Machines
part518ec9c,line94,Machines
partea21353,line55,SpareParts
part09c5a46,line55,SpareParts
partf5f513b,line55,SpareParts
parte612add,line55,SpareParts
part76fb2d9,line55,SpareParts
part5e28220,line94,Machines
part168372c,line55,SpareParts
part9564c84,line55,SpareParts
parte740466,line55,SpareParts
part59ede40,line55,SpareParts
part99ddd29,line55,SpareParts
parte9aedbf,line55,SpareParts
part19bc617,line55,SpareParts
part872df99,line94,Machines
part6b47807,linec1,Marketables
part616bcfe,linec1,Marketables
part281e818,linea3,Marketables
part86d88e,linea3,Marketables
partc8f8934,linea3,Marketables
partb88b9a2,linea3,Marketables
partc3d0d4e,linec1,Marketables
partc8e5534,linec1,Marketables
parte23fe43,line9b,Machines
part43fba5f,line9b,Machines
part3c7fbe1,line9b,Machines
partac05e40,linec1,Marketables
part3b8296d,line55,SpareParts
partad3cfd4,linea3,Marketables
part4ddaef8,linea3,Marketables
partdd4ff42,linea3,Marketables
partab93b5b,linea3,Marketables
part8c734ea,linec1,Marketables
partc3c4466,linec1,Marketables
part74cc8fa,line56,Machines
part0027e86,line2f,Machines
part2ed65b0,linec1,Marketables
part650d881,line61,Machines
part157e817,line61,Machines
part231a7c8,line4b,Machines
partb5202fd,line4b,Machines
part0e94f0,line4b,Machines
part841631b,line4b,Machines
part1a7135d,line55,SpareParts
part8c4b668,line55,SpareParts
part0a111a9,line55,SpareParts
part28d5b7f,line4b,Machines
partc8d6ae3,line55,SpareParts
partd842df,linea3,Marketables
part5b2b650,linea3,Marketables
partb586c6,linea3,Marketables
partcbbe7ea,linea3,Marketables
partcc3739e,linea3,Marketables
part2cd12b2,linea3,Marketables
partca98711,linea3,Marketables
part5a0d6ab,linea3,Marketables
part51fcb3a,linea3,Marketables
part0e910cb,linea3,Marketables
part7ee205d,linea3,Marketables
partee771e7,linea3,Marketables
part63101af,line55,SpareParts
